caldt,vwretd,ewretd
19251231,,
19260130,0.000561,0.023174
19260227,-0.033046,-0.05351
19260331,-0.064002,-0.096824
19260430,0.037019,0.032946
19260528,0.012095,0.001035
19260630,0.053664,0.050487
19260731,0.031411,0.013076
19260831,0.028647,0.031002
19260930,0.005787,-0.006499
19261030,-0.028996,-0.03463
19261130,0.028554,0.024776
19261231,0.029211,0.025516
19270131,0.002416,0.012556
19270228,0.045367,0.055756
19270331,0.003756,-0.01929
19270430,0.007225,0.007494
19270531,0.057773,0.062691
19270630,-0.021087,-0.019708
19270730,0.075279,0.05808
19270831,0.02249,0.004247
19270930,0.049924,0.032308
19271031,-0.04077,-0.038529
19271130,0.068453,0.097758
19271231,0.023782,0.029677
19280131,-0.00334,0.032441
19280229,-0.014478,-0.022508
19280331,0.090478,0.071583
19280430,0.043846,0.087466
19280531,0.01769,0.037591
19280630,-0.045245,-0.069074
19280731,0.0094,0.003047
19280831,0.070206,0.058396
19280929,0.031498,0.049244
19281031,0.019228,0.017469
19281130,0.1215,0.115203
19281231,0.005557,-0.005552
19290131,0.053935,0.033526
19290228,-0.000446,0.006487
19290328,-0.007808,-0.032105
19290430,0.017179,0.014024
19290531,-0.059923,-0.091046
19290629,0.101573,0.073428
19290731,0.045958,0.018561
19290830,0.085343,0.028368
19290930,-0.050455,-0.04373
19291031,-0.196684,-0.212145
19291127,-0.123812,-0.122533
19291231,0.01639,-0.025598
19300131,0.058407,0.109826
19300228,0.028242,0.033599
19300331,0.074631,0.103754
19300430,-0.020541,-0.0416
19300529,-0.01401,-0.037227
19300630,-0.15998,-0.188159
19300731,0.041964,0.037631
19300829,0.003663,-0.017319
19300930,-0.124805,-0.150475
19301031,-0.086579,-0.096057
19301129,-0.028057,-0.024128
19301231,-0.077739,-0.136846
19310131,0.063792,0.141828
19310228,0.109695,0.156753
19310331,-0.062866,-0.061871
19310430,-0.100219,-0.15087
19310529,-0.133836,-0.140379
19310630,0.14034,0.18217
19310731,-0.066438,-0.070214
19310831,0.003078,-0.018724
19310930,-0.291731,-0.312753
19311031,0.081509,0.105333
19311130,-0.088402,-0.088216
19311231,-0.134971,-0.187239
19320130,-0.010534,0.08592
19320229,0.057663,0.022732
19320331,-0.110599,-0.119564
19320430,-0.179417,-0.181056
19320531,-0.206198,-0.202303
19320630,-0.004289,0.041277
19320730,0.340643,0.433499
19320831,0.371386,0.665936
19320930,-0.028649,-0.059442
19321031,-0.132553,-0.164793
19321130,-0.05826,-0.073874
19321231,0.045227,-0.036622
19330131,0.009813,0.035883
19330228,-0.153204,-0.155443
19330331,0.033105,0.100121
19330429,0.394143,0.518249
19330531,0.213261,0.605986
19330630,0.133364,0.22643
19330731,-0.096341,-0.092417
19330831,0.121285,0.114552
19330930,-0.105836,-0.150009
19331031,-0.08365,-0.107887
19331129,0.099896,0.065094
19331230,0.017876,0.017242
19340131,0.126779,0.315546
19340228,-0.024287,0.010863
19340331,0.004425,0.008062
19340430,-0.018345,0.000264
19340531,-0.072273,-0.10724
19340630,0.025344,0.003578
19340731,-0.109366,-0.186303
19340831,0.057043,0.098561
19340929,-0.002362,-0.011748
19341031,-0.018895,-0.01923
19341130,0.082095,0.128705
19341231,0.003554,0.014735
19350131,-0.033416,-0.029663
19350228,-0.019462,-0.056016
19350330,-0.036013,-0.073353
19350430,0.090452,0.101628
19350531,0.034561,0.024401
19350629,0.057796,0.040189
19350731,0.07416,0.110382
19350831,0.026773,0.083084
19350930,0.026074,0.023798
19351031,0.069439,0.082776
19351130,0.052872,0.145782
19351231,0.046926,0.060243
19360131,0.069559,0.150165
19360229,0.025402,0.045619
19360331,0.008253,0.005947
19360430,-0.081481,-0.122963
19360529,0.052043,0.051218
19360630,0.024671,-0.000325
19360731,0.065954,0.08193
19360831,0.01095,0.021447
19360930,0.011899,0.032668
19361031,0.069986,0.063755
19361130,0.032854,0.091427
19361231,0.002796,0.027306
19370130,0.033258,0.076221
19370227,0.013114,0.023904
19370331,-0.002732,0.001065
19370430,-0.075416,-0.101024
19370528,-0.007054,-0.024524
19370630,-0.041748,-0.076702
19370731,0.089725,0.099611
19370831,-0.048365,-0.052749
19370930,-0.136623,-0.193182
19371030,-0.095798,-0.101549
19371130,-0.083053,-0.108639
19371231,-0.040774,-0.099215
19380131,0.006776,0.04206
19380228,0.058013,0.061061
19380331,-0.238416,-0.285564
19380430,0.145963,0.2062
19380531,-0.039053,-0.070462
19380630,0.237914,0.306353
19380730,0.072097,0.121836
19380831,-0.027139,-0.063787
19380930,0.008912,-0.014633
19381031,0.078927,0.144539
19381130,-0.018206,-0.03653
19381231,0.041919,0.033472
19390131,-0.060381,-0.075729
19390228,0.035255,0.041384
19390331,-0.120727,-0.173763
19390429,-0.001932,0.002429
19390531,0.068971,0.086137
19390630,-0.053626,-0.083303
19390731,0.102243,0.135497
19390831,-0.067264,-0.106495
19390930,0.161815,0.391878
19391031,-0.004191,-0.006939
19391130,-0.037131,-0.081311
19391230,0.029686,0.017811
19400131,-0.024215,-0.019978
19400229,0.014758,0.029733
19400330,0.018643,0.026168
19400430,0.000837,0.013115
19400531,-0.221112,-0.269754
19400629,0.066856,0.06655
19400731,0.031923,0.036805
19400831,0.024296,0.023221
19400930,0.023118,0.037207
19401031,0.030143,0.049218
19401130,-0.016752,-0.001669
19401231,0.006586,-0.018789
19410131,-0.041227,-0.007317
19410228,-0.013801,-0.019409
19410331,0.009515,0.014308
19410430,-0.054018,-0.057382
19410531,0.01314,0.010105
19410630,0.058495,0.066908
19410731,0.059543,0.130139
19410830,-0.001156,-0.00718
19410930,-0.007611,-0.020448
19411031,-0.052926,-0.06203
19411129,-0.020271,-0.034209
19411231,-0.046692,-0.081886
19420131,0.008979,0.130814
19420228,-0.023651,-0.017579
19420331,-0.065144,-0.05224
19420430,-0.043583,-0.04626
19420529,0.060174,0.028879
19420630,0.025772,0.025086
19420731,0.035326,0.046405
19420831,0.018408,0.028304
19420930,0.027069,0.047557
19421031,0.069088,0.101294
19421130,0.001177,-0.013177
19421231,0.05129,0.035554
19430130,0.073382,0.168551
19430227,0.060478,0.13093
19430331,0.061794,0.112136
19430430,0.007333,0.035466
19430529,0.057142,0.084513
19430630,0.017351,0.010979
19430731,-0.047753,-0.064335
19430831,0.013444,0.003373
19430930,0.024077,0.034867
19431030,-0.011573,-0.003943
19431130,-0.059903,-0.088584
19431231,0.064217,0.09873
19440131,0.01803,0.045949
19440229,0.003459,0.013018
19440331,0.024768,0.041526
19440429,-0.016484,-0.029289
19440531,0.050909,0.066135
19440630,0.056842,0.104935
19440731,-0.015194,-0.012724
19440831,0.015597,0.030082
19440930,0.000453,0.000252
19441031,0.002119,0.000953
19441130,0.016668,0.023183
19441230,0.04107,0.069303
19450131,0.020218,0.043353
19450228,0.064477,0.086339
19450331,-0.039177,-0.056802
19450430,0.078232,0.088844
19450531,0.018185,0.030017
19450630,0.004676,0.036565
19450731,-0.022066,-0.035068
19450831,0.061826,0.065928
19450929,0.048297,0.062646
19451031,0.038749,0.064522
19451130,0.054859,0.097574
19451231,0.013003,0.024073
19460131,0.063402,0.094677
19460228,-0.058257,-0.066906
19460330,0.057941,0.057922
19460430,0.042293,0.052109
19460531,0.040195,0.054749
19460628,-0.038668,-0.048887
19460731,-0.026309,-0.040842
19460830,-0.064468,-0.075327
19460930,-0.102023,-0.135552
19461031,-0.014164,-0.011814
19461130,0.000697,-0.002634
19461231,0.050161,0.046908
19470131,0.013084,0.030197
19470228,-0.011091,-0.007105
19470331,-0.01679,-0.030425
19470430,-0.047698,-0.08168
19470529,-0.009625,-0.037321
19470630,0.053226,0.057096
19470731,0.041348,0.06167
19470829,-0.017357,-0.017166
19470930,-0.004667,0.005783
19471031,0.024831,0.033156
19471129,-0.01875,-0.029305
19471231,0.030708,0.023863
19480131,-0.037908,-0.016276
19480228,-0.043422,-0.059451
19480331,0.082628,0.095843
19480430,0.038128,0.040151
19480528,0.074319,0.08763
19480630,-0.00028,-0.012534
19480730,-0.050288,-0.053733
19480831,0.003762,-0.001818
19480930,-0.029813,-0.042785
19481030,0.060316,0.053201
19481130,-0.092077,-0.10632
19481231,0.032566,0.013703
19490131,0.003074,0.017749
19490228,-0.028852,-0.041302
19490331,0.041537,0.059309
19490430,-0.017972,-0.03149
19490531,-0.028488,-0.043168
19490630,0.00218,-0.007713
19490729,0.056377,0.062022
19490831,0.026916,0.02602
19490930,0.032082,0.043249
19491031,0.031801,0.039025
19491130,0.018535,0.0094
19491231,0.052267,0.07012
19500131,0.017764,0.040293
19500228,0.015234,0.016102
19500331,0.012742,-0.00177
19500429,0.040678,0.047443
19500531,0.044173,0.033185
19500630,-0.058018,-0.075737
19500731,0.016122,0.050635
19500831,0.050875,0.051892
19500929,0.049044,0.055013
19501031,-0.001184,-0.005504
19501130,0.029056,0.031622
19501230,0.057946,0.084545
19510131,0.058735,0.076248
19510228,0.014086,0.011586
19510331,-0.021115,-0.03389
19510430,0.050061,0.040814
19510531,-0.022464,-0.024919
19510629,-0.025533,-0.044929
19510731,0.071611,0.063332
19510831,0.045004,0.047438
19510928,0.009087,0.023631
19511031,-0.022629,-0.023609
19511130,0.006193,0.007185
19511231,0.035266,0.015248
19520131,0.017002,0.017491
19520229,-0.025141,-0.02065
19520331,0.04587,0.028864
19520430,-0.049148,-0.044936
19520529,0.032847,0.024515
19520630,0.039575,0.030728
19520731,0.011404,0.010652
19520829,-0.006733,0.000056
19520930,-0.019147,-0.01516
19521031,-0.005309,-0.011717
19521128,0.059347,0.055644
19521231,0.031066,0.022641
19530130,-0.001644,0.024706
19530227,-0.00182,0.012031
19530331,-0.012862,-0.010486
19530430,-0.027705,-0.024027
19530529,0.006921,0.005896
19530630,-0.016377,-0.031671
19530731,0.025111,0.017571
19530831,-0.044056,-0.051874
19530930,0.00301,-0.011005
19531030,0.047523,0.037834
19531130,0.028501,0.021317
19531231,0.000678,-0.015444
19540129,0.052722,0.071683
19540226,0.017551,0.013576
19540331,0.037377,0.02915
19540430,0.043162,0.016373
19540528,0.031704,0.043151
19540630,0.01156,0.012275
19540730,0.050668,0.071989
19540831,-0.022763,-0.009175
19540930,0.064633,0.044308
19541029,-0.016216,-0.00686
19541130,0.095387,0.092199
19541231,0.055469,0.087724
19550131,0.006838,0.014124
19550228,0.031354,0.042781
19550331,-0.000995,0.00053
19550429,0.032352,0.022598
19550531,0.012033,0.007814
19550630,0.066108,0.034694
19550729,0.020246,0.008001
19550831,0.004197,0.005764
19550930,-0.002009,-0.007751
19551031,-0.025752,-0.017815
19551130,0.071864,0.055257
19551230,0.016543,0.022836
19560131,-0.028119,-0.020746
19560229,0.03961,0.033613
19560329,0.068456,0.051383
19560430,0.005083,0.003827
19560531,-0.049309,-0.039964
19560629,0.037251,0.021712
19560731,0.05083,0.039967
19560831,-0.02982,-0.018161
19560928,-0.049608,-0.035938
19561031,0.007292,0.007063
19561130,0.004678,0.005277
19561231,0.034957,0.023122
19570131,-0.032121,0.003613
19570228,-0.018703,-0.023299
19570329,0.024112,0.022499
19570430,0.045179,0.025909
19570531,0.036679,0.022263
19570628,-0.005054,-0.006747
19570731,0.008938,0.00561
19570830,-0.050051,-0.05019
19570930,-0.057586,-0.052982
19571031,-0.041251,-0.065213
19571129,0.025605,0.021027
19571231,-0.03736,-0.049129
19580131,0.049595,0.106481
19580228,-0.014257,-0.011845
19580331,0.0337,0.035918
19580430,0.030833,0.030171
19580529,0.024582,0.039475
19580630,0.029493,0.031729
19580731,0.044844,0.054168
19580829,0.019181,0.029878
19580930,0.04868,0.052239
19581031,0.027184,0.032975
19581128,0.03061,0.042114
19581231,0.053099,0.03879
19590130,0.00912,0.041502
19590227,0.01122,0.028112
19590331,0.004669,0.012223
19590430,0.037899,0.025714
19590529,0.019595,0.008206
19590630,0.000676,0.004149
19590731,0.034362,0.030062
19590831,-0.012446,-0.014839
19590930,-0.044977,-0.04576
19591030,0.015746,0.023206
19591130,0.018557,0.01504
19591231,0.028043,0.021177
19600129,-0.066244,-0.039202
19600229,0.014419,0.008478
19600331,-0.012822,-0.024876
19600429,-0.015271,-0.01973
19600531,0.034098,0.025546
19600630,0.022833,0.021609
19600729,-0.022705,-0.019598
19600831,0.032215,0.037948
19600930,-0.058673,-0.059524
19601031,-0.004705,-0.02323
19601130,0.048617,0.046494
19601230,0.048537,0.037495
19610131,0.063952,0.082048
19610228,0.037005,0.06013
19610330,0.03061,0.049888
19610428,0.005645,0.009487
19610531,0.025894,0.041572
19610630,-0.028499,-0.042415
19610731,0.029955,0.011517
19610831,0.026854,0.021358
19610929,-0.01999,-0.029686
19611031,0.027331,0.020988
19611130,0.045451,0.046461
19611229,0.000713,-0.003757
19620131,-0.036147,-0.007807
19620228,0.019512,0.015405
19620330,-0.004688,-0.006241
19620430,-0.063435,-0.068134
19620531,-0.08462,-0.098186
19620629,-0.082615,-0.085125
19620731,0.065438,0.064
19620831,0.023414,0.037061
19620928,-0.050154,-0.06383
19621031,0.002184,-0.039528
19621130,0.110137,0.121176
19621231,0.011865,-0.025561
19630131,0.051848,0.08914
19630228,-0.021931,-0.014477
19630329,0.032917,0.012027
19630430,0.047439,0.02689
19630531,0.020051,0.032306
19630628,-0.01803,-0.010383
19630731,-0.001718,-0.006304
19630830,0.052684,0.042305
19630930,-0.011898,-0.010373
19631031,0.027708,0.012208
19631129,-0.005549,-0.016139
19631231,0.021736,-0.004228
19640131,0.02579,0.032092
19640228,0.017207,0.025173
19640331,0.017636,0.02551
19640430,0.004608,0.001004
19640528,0.017403,0.007507
19640630,0.01508,0.010411
19640731,0.020118,0.030161
19640831,-0.011266,-0.006038
19640930,0.03048,0.038248
19641030,0.008869,0.018821
19641130,0.003089,-0.000516
19641231,0.00369,-0.012365
19650129,0.038646,0.071403
19650226,0.006946,0.032315
19650331,-0.009715,0.015393
19650430,0.033652,0.04156
19650528,-0.00435,-0.005845
19650630,-0.051868,-0.083718
19650730,0.016759,0.028633
19650831,0.030883,0.041844
19650930,0.031952,0.02742
19651029,0.029271,0.058679
19651130,0.003065,0.046544
19651231,0.013545,0.042981
19660131,0.012122,0.06417
19660228,-0.008621,0.028865
19660331,-0.020923,-0.008889
19660429,0.024837,0.046619
19660531,-0.052539,-0.086024
19660630,-0.010317,-0.004988
19660729,-0.01287,-0.016316
19660831,-0.075388,-0.100714
19660930,-0.006958,-0.018161
19661031,0.042294,-0.014385
19661130,0.017516,0.040725
19661230,0.00621,0.017306
19670131,0.08553,0.172104
19670228,0.010945,0.042368
19670331,0.043384,0.058244
19670428,0.041609,0.041928
19670531,-0.039293,-0.008098
19670630,0.026903,0.081958
19670731,0.049189,0.083251
19670831,-0.006282,0.006312
19670929,0.034286,0.062963
19671031,-0.027433,-0.020594
19671130,0.007902,0.000878
19671229,0.033699,0.080465
19680131,-0.03633,0.023902
19680229,-0.033624,-0.056118
19680329,0.005116,-0.011218
19680430,0.094148,0.143031
19680531,0.027041,0.091309
19680628,0.011527,0.016225
19680730,-0.022024,-0.02621
19680830,0.018038,0.035918
19680930,0.044454,0.068808
19681031,0.009041,0.006913
19681129,0.058502,0.071994
19681231,-0.033873,0.005896
19690131,-0.006711,-0.001688
19690228,-0.05364,-0.085728
19690328,0.030506,0.02029
19690430,0.020526,0.003459
19690529,0.00504,0.006262
19690630,-0.067387,-0.113404
19690731,-0.065172,-0.095823
19690829,0.05149,0.052175
19690930,-0.02259,-0.024618
19691031,0.055638,0.092413
19691128,-0.032164,-0.055078
19691231,-0.019681,-0.066178
19700130,-0.073254,-0.03883
19700227,0.056706,0.040195
19700331,-0.004729,-0.023712
19700430,-0.105318,-0.161963
19700529,-0.064346,-0.090524
19700630,-0.051075,-0.073904
19700731,0.074169,0.059258
19700831,0.050036,0.061617
19700930,0.047536,0.126098
19701030,-0.018208,-0.058604
19701130,0.050448,0.003021
